ZIP_CODE,WARD,PRECINCT,POLICE_DISTRICT,LICENSE_CODE,APPLICATION_TYPE,APPLICATION_REQUIREMENTS_COMPLETE,CONDITIONAL_APPROVAL,SSA,LATITUDE,LONGITUDE,LICENSE_STATUS,DAYS_TO_PAYMENT,TERM_LENGTH_DAYS,DAYS_TO_ISSUE,APP_YEAR,APP_MONTH,APP_DOW,DIST_TO_CENTER_KM
60455,Unknown,Unknown,Unknown,1010,ISSUE,2006-06-22T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,237,1,2006,6,3,10.216654411008577
60156,Unknown,Unknown,Unknown,1011,RENEW,2004-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60651.0,37.0,7.0,15.0,1011,RENEW,2006-09-20T00:00:00,N,Unknown,41.902074717,-87.761747981,AAI,-1,364,-1,0,0,0,18.475015382208383
60188,Unknown,Unknown,Unknown,1010,RENEW,2004-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60611.0,42.0,Unknown,18.0,1479,ISSUE,2001-11-05T00:00:00,N,Unknown,41.892249163,-87.609518049,AAI,3,210,168,2001,11,4,12.08228468215449
60436,Unknown,Unknown,Unknown,1010,RENEW,2013-01-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60608,25.0,4.0,12.0,1585,RENEW,2011-10-14T00:00:00,N,Unknown,41.864858734,-87.656766595,AAC,-1,730,-1,0,0,0,9.986625332372853
60047,Unknown,Unknown,Unknown,1010,RENEW,2013-09-26T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60623,22.0,19.0,10.0,1014,ISSUE,2011-04-28T00:00:00,N,Unknown,41.851565678,-87.71383534299999,AAC,1,475,1,2011,4,2,11.743170812447499
60714,Unknown,Unknown,Unknown,1011,C_LOC,2011-08-11T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAC,0,642,1,2011,8,3,10.216654411008577
60030,Unknown,Unknown,Unknown,1010,ISSUE,2003-06-09T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,75,249,75,2003,3,4,10.216654411008577
60402,Unknown,Unknown,Unknown,1010,RENEW,2004-12-20T00:00:00,N,Unknown,41.855411142,-87.63537158700001,AAI,-1,364,-1,0,0,0,8.360241452999741
60050,Unknown,Unknown,Unknown,1010,RENEW,2001-12-21T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60602,42.0,9.0,1.0,1010,RENEW,2003-06-24T00:00:00,N,Unknown,41.882567066,-87.626078783,AAC,-1,365,-1,0,0,0,11.134154581456224
60618,47.0,51.0,19.0,1605,ISSUE,2010-10-22T00:00:00,N,Unknown,41.95202904,-87.68612715100001,AAC,0,755,0,2010,10,4,19.88377369931708
60464,Unknown,Unknown,Unknown,1011,ISSUE,2010-10-12T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,734,0,2010,10,1,10.216654411008577
60657,44.0,9.0,19.0,1475,RENEW,2010-12-15T00:00:00,N,27.0,41.93988023,-87.663485241,AAC,-1,730,-1,0,0,0,18.02869018475284
60429,Unknown,Unknown,Unknown,1011,RENEW,2008-01-22T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60649,7.0,19.0,3.0,1006,ISSUE,2012-08-08T00:00:00,N,42.0,41.761201488000005,-87.586347335,AAC,0,718,19,2012,8,2,2.9499282109051133
